id,wh_name,wh_code,unload,ship_condition,logistics_name,logistics_code,nation,province,city,district,town,address,longitude,latitude,fence_radius,fence_status,is_base,contact,sort,rule_type,rule_up_uid,rule_update_time,is_lock,ct_uid,up_uid,create_time,factory_code,sales_org,seller,sales_ltd,expiry_date,from_date,exp_arr,logistics_exp_arr,logistics_from_date,logistics_expiry_date,sales_unit_exp_arr,sales_unit,sales_unit_code,sales_unit_from_date,sales_unit_expiry_date
160,济南,2017,2017 济南数据在线,87,北京汇宇国际供应链管理有限公司,18000225,,山东省,济南市,槐荫区,五里沟街道,济南,116.98404055112,36.663830794132,5000,1,0,"[{'id': '1', 'linkman': 'CS', 'phone': '13500000000', 'isTop': '1', 'isLast': '1', 'isNoRemove': '1', 'sort': '0'}]",-160,1,0,,0,1,1,2025-12-17 17:21:40,,,,,,,[],"[{'id': 238, 'unload_point_id': 160, 'logistics_name': '北京汇宇国际供应链管理有限公司', 'logistics_code': '18000225', 'from_date': '2023-12-01', 'expiry_date': '2099-12-31', 'status': 2}]",2023-12-01,2099-12-31,[],,,,
159,奥瑞金战马,0098,0098 咸宁基地,29,北京畅翔国际供应链管理有限公司,18000218,,湖北省,咸宁市,咸安区,浮山街道,咸宁,114.32365272479,29.861891232049,5000,1,0,"[{'id': '1', 'linkman': 'CS', 'phone': '13500000000', 'isTop': '1', 'isLast': '1', 'isNoRemove': '1', 'sort': '0'}]",-159,1,0,,0,1,,2025-12-16 16:33:36,,,,,,,[],"[{'id': 237, 'unload_point_id': 159, 'logistics_name': '北京畅翔国际供应链管理有限公司', 'logistics_code': '18000218', 'from_date': '2024-12-01', 'expiry_date': '2099-12-31', 'status': 2}]",2024-12-01,2099-12-31,[],,,,
158,青岛,2018,2018 青岛数据在线,88,北京汇宇国际供应链管理有限公司,18000225,,山东省,青岛市,城阳区,城阳街道,青岛,120.40624479559,36.302146908681,5000,1,0,"[{'id': '1', 'linkman': 'CS', 'phone': '1351245678', 'isTop': '1', 'isLast': '1', 'isNoRemove': '1', 'sort': '0'}]",-158,1,0,,0,1,1,2025-11-26 11:48:01,,,,,,,[],"[{'id': 236, 'unload_point_id': 158, 'logistics_name': '北京汇宇国际供应链管理有限公司', 'logistics_code': '18000225', 'from_date': '2023-11-01', 'expiry_date': '2099-12-31', 'status': 2}]",2023-11-01,2099-12-31,[],,,,
157,天津,2047,2047 天津数据在线,C4,北京晶达国际供应链管理有限公司,18000224,,天津市,天津市,和平区,劝业场街道,天津,117.18835108622,39.122456926126,5000,1,0,"[{'id': '1', 'linkman': 'CS', 'phone': '13512345678', 'isTop': '1', 'isLast': '1', 'isNoRemove': '1', 'sort': '0'}]",-157,1,0,,0,1,,2025-11-22 15:02:26,,,,,,,[],"[{'id': 235, 'unload_point_id': 157, 'logistics_name': '北京晶达国际供应链管理有限公司', 'logistics_code': '18000224', 'from_date': '2024-11-01', 'expiry_date': '2099-12-31', 'status': 2}]",2024-11-01,2099-12-31,[],,,,
156,合肥,2025,2025 合肥数据在线,A1,北京驰宁国际供应链管理有限公司,18000223,,安徽省,合肥市,庐阳区,逍遥津街道,合肥,117.29307139103,31.862668180742,5000,1,0,"[{'id': '1', 'linkman': 'CS', 'phone': '135123456789', 'isTop': '1', 'isLast': '1', 'isNoRemove': '1', 'sort': '0'}]",-156,1,0,,0,1,,2025-11-22 15:00:47,,,,,,,[],"[{'id': 234, 'unload_point_id': 156, 'logistics_name': '北京驰宁国际供应链管理有限公司', 'logistics_code': '18000223', 'from_date': '2024-11-01', 'expiry_date': '2099-12-31', 'status': 2}]",2024-11-01,2099-12-31,[],,,,
155,兰州,2012,2012 兰州数据在线,81,北京通源达国际供应链管理有限公司,18000220,,甘肃省,兰州市,城关区,雁北街道,兰州,103.866250649,36.066448745427,5000,1,0,"[{'id': '1', 'linkman': 'CS', 'phone': '13500000000', 'isTop': '1', 'isLast': '1', 'isNoRemove': '1', 'sort': '0'}]",-155,1,0,,0,1,,2025-11-19 15:45:45,,,,,,,[],"[{'id': 233, 'unload_point_id': 155, 'logistics_name': '北京通源达国际供应链管理有限公司', 'logistics_code': '18000220', 'from_date': '2020-11-01', 'expiry_date': '2099-12-31', 'status': 2}]",2020-11-01,2099-12-31,[],,,,
154,石家庄,2050,2050 石家庄数据在线,C8,北京晶达国际供应链管理有限公司,18000224,,河北省,石家庄市,新华区,新华路街道,石家庄,114.47937383151,38.048464534087,5000,1,0,"[{'id': '1', 'linkman': 'CS', 'phone': '13555555555', 'isTop': '1', 'isLast': '1', 'isNoRemove': '1', 'sort': '0'}]",-154,1,0,,0,1,1,2025-11-14 14:29:08,,,,,,,[],"[{'id': 232, 'unload_point_id': 154, 'logistics_name': '北京晶达国际供应链管理有限公司', 'logistics_code': '18000224', 'from_date': '2020-11-01', 'expiry_date': '2099-12-31', 'status': 2}]",2020-11-01,2099-12-31,[],,,,
153,乌鲁木齐,2011,2011 乌鲁木齐数据在线,80,北京通源达国际供应链管理有限公司,18000220,,新疆维吾尔自治区,乌鲁木齐市,新市区,高新街街道,乌鲁木齐,87.584984271244,43.872035046859,5000,1,0,"[{'id': '1', 'linkman': 'CS', 'phone': '13512345678', 'isTop': '1', 'isLast': '1', 'isNoRemove': '1', 'sort': '0'}]",-153,1,0,,0,1,,2025-11-14 13:51:49,,,,,,,[],"[{'id': 231, 'unload_point_id': 153, 'logistics_name': '北京通源达国际供应链管理有限公司', 'logistics_code': '18000220', 'from_date': '2021-11-01', 'expiry_date': '2099-12-31', 'status': 2}]",2021-11-01,2099-12-31,[],,,,
152,驻马店,2010,2010 驻马店数据在线,76,北京汇宇国际供应链管理有限公司,18000225,,河南省,驻马店市,驿城区,东风街道,驻马店,114.04848882025,32.9893458688,5000,1,0,"[{'id': '1', 'linkman': 'CS', 'phone': '13812345678', 'isTop': '1', 'isLast': '1', 'isNoRemove': '1', 'sort': '0'}]",-152,1,0,,0,1,,2025-11-14 13:50:12,,,,,,,[],"[{'id': 230, 'unload_point_id': 152, 'logistics_name': '北京汇宇国际供应链管理有限公司', 'logistics_code': '18000225', 'from_date': '2022-11-01', 'expiry_date': '2099-12-31', 'status': 2}]",2022-11-01,2099-12-31,[],,,,
151,西安,2013,2013 西安数据在线,82,北京畅翔国际供应链管理有限公司,18000218,,陕西省,西安市,雁塔区,小寨路街道,西安,108.95162254174,34.225129335446,5000,1,0,"[{'id': '1', 'linkman': 'CS', 'phone': '1351111111111', 'isTop': '1', 'isLast': '1', 'isNoRemove': '1', 'sort': '0'}]",-151,1,0,,0,1,,2025-11-14 13:48:43,,,,,,,[],"[{'id': 229, 'unload_point_id': 151, 'logistics_name': '北京畅翔国际供应链管理有限公司', 'logistics_code': '18000218', 'from_date': '2023-10-01', 'expiry_date': '2099-12-31', 'status': 2}]",2023-10-01,2099-12-31,[],,,,
