序号,物料编码,商品名称,审批状态,启/禁状态,单位重量吨/箱(组、包),物料单位,单位货值元/箱(组、包),纸箱价格元/张,外包装箱价格,是否为促销物料,是否为箱内码促销,是否为消费者促销,是否五码合一,促销方式,封箱方式,是否有内膜,是否有外膜,箱内包装形式,箱内数量,箱内单位,投放区域,箱内是否有礼品,商品保质期,材质,备注,标箱折扣系数,品牌,物料大类,物料品类,商品图例,分配量,促销方案,保质期预警(天),有效期起,有效期止
1,81000272,国产/芙丝天然泉水330ML/24罐装/万豪定制款,已完成,启用,,CAR,,,,否,否,否,否,,,是,否,6×4,24,CAR,,否,24个月,铝罐,2024年10月新增物料,1.000,国产芙丝,国产芙丝330ML铝罐,,,,,2023-01-01,9999-12-31
2,81000270,国产/芙丝水330ML/24瓶/牛皮纸环保装,已完成,启用,,CAR,,,0.00,否,否,否,否,,,是,是,6×4,24,21,,否,24个月,塑料瓶,2024年10月新增物料,1.000,国产芙丝,国产芙丝330MLPET,,,,,2023-01-01,9999-12-31
3,81000254,国产/芙丝水330ML/24瓶装/上海001,已完成,启用,,CAR,,,,否,否,否,否,,,是,是,6×4,24,21,,否,24个月,塑料瓶,2024年8月新增物料,1.000,国产芙丝,国产芙丝330MLPET,,,,,2023-01-01,9999-12-31
4,81000235,国产/芙丝水500ML/24瓶装/万物有时节,待审核,启用,,CAR,,,,否,否,否,否,,,是,是,6×4,24,21,,否,24个月,塑料瓶,2024年7月新增物料,1.000,国产芙丝,国产芙丝500MLPET,,,,,2023-01-01,9999-12-31
5,81000211,国产/芙丝水330ML/24瓶装/響联标,待审核,启用,,CAR,,,,否,否,否,否,,,是,是,6×4,24,21,,否,24个月,塑料瓶,2024年3月新增物料,1.000,国产芙丝,国产芙丝330MLPET,,,,,2023-01-01,9999-12-31
6,81000197,国产/芙丝水375ML/20瓶/玻璃瓶/芙丝苏打水饮料（含气型）,待审核,启用,,CAR,,,,否,否,否,否,,,否,否,散装,20,21,,否,24个月,玻璃瓶,2025年5月新增物料,1.000,国产芙丝,国产芙丝375ML玻璃瓶,,,,,2023-01-01,9999-12-31
7,81000287,国产/芙丝气泡水330ML/12瓶装/蜜柚甜橘,待审核,启用,,CAR,,,,否,否,否,否,,,是,否,6×2,12,21,,否,12个月,铝罐,2025年4月新增物料,1.000,国产芙丝,国产芙丝330ML气泡水,,,,,2023-01-01,9999-12-31
8,81000285,国产/芙丝水330ML/24瓶装/京东专供,待审核,启用,,CAR,,,,否,否,否,否,,,是,是,6×4,24,21,,否,24个月,塑料瓶,2025年4月新增物料,1.000,国产芙丝,国产芙丝330MLPET,,,,,2023-01-01,9999-12-31
9,10001204,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-云贵/2026,待审核,启用,,CAR,,,,否,否,否,否,,,是,否,12×2,24,,,否,18个月,马口铁,2026年2月新增物料,1.000,红牛,红牛促销型,,,,,2023-01-01,9999-12-31
10,10001203,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-广西/2026,待审核,启用,,CAR,,,,否,否,否,否,,,是,否,12×2,24,,,否,18个月,马口铁,2026年2月新增物料,1.000,红牛,红牛促销型,,,,,2023-01-01,9999-12-31
